year_index,report_year,state,utility_id_eia,utility_name_eia,balancing_authority_code_eia,pv_current_flow_type,residential_pv_capacity_mw,commercial_pv_capacity_mw,industrial_pv_capacity_mw,transportation_pv_capacity_mw,total_pv_capacity_mw,residential_pv_customers,commercial_pv_customers,industrial_pv_customers,transportation_pv_customers,total_pv_customers,residential_pv_sold_to_utility_mwh,commercial_pv_sold_to_utility_mwh,industrial_pv_sold_to_utility_mwh,transportation_pv_sold_to_utility_mwh,total_pv_sold_to_utility_mwh,residential_virtual_pv_over_1mw_capacity_mw,commercial_virtual_pv_over_1mw_capacity_mw,industrial_virtual_pv_over_1mw_capacity_mw,transportation_virtual_pv_over_1mw_capacity_mw,total_virtual_pv_over_1mw_capacity_mw,residential_virtual_pv_over_1mw_customers,commercial_virtual_pv_over_1mw_customers,industrial_virtual_pv_over_1mw_customers,transportation_virtual_pv_over_1mw_customers,total_virtual_pv_over_1mw_customers,residential_virtual_pv_under_1mw_capacity_mw,commercial_virtual_pv_under_1mw_capacity_mw,industrial_virtual_pv_under_1mw_capacity_mw,transportation_virtual_pv_under_1mw_capacity_mw,total_virtual_pv_under_1mw_capacity_mw,residential_virtual_pv_under_1mw_customers,commercial_virtual_pv_under_1mw_customers,industrial_virtual_pv_under_1mw_customers,transportation_virtual_pv_under_1mw_customers,total_virtual_pv_under_1mw_customers,residential_storage_pv_capacity_mw,commercial_storage_pv_capacity_mw,industrial_storage_pv_capacity_mw,transportation_storage_pv_capacity_mw,total_storage_pv_capacity_mw,residential_storage_pv_customers,commercial_storage_pv_customers,industrial_storage_pv_customers,transportation_storage_pv_customers,total_storage_pv_customers,residential_storage_pv_energy_capacity_mwh,commercial_storage_pv_energy_capacity_mwh,industrial_storage_pv_energy_capacity_mwh,transportation_storage_pv_energy_capacity_mwh,total_storage_pv_energy_capacity_mwh,residential_storage_nonpv_capacity_mw,commercial_storage_nonpv_capacity_mw,industrial_storage_nonpv_capacity_mw,transportation_storage_nonpv_capacity_mw,total_storage_nonpv_capacity_mw,residential_storage_nonpv_customers,commercial_storage_nonpv_customers,industrial_storage_nonpv_customers,transportation_storage_nonpv_customers,total_storage_nonpv_customers,residential_storage_nonpv_energy_capacity_mwh,commercial_storage_nonpv_energy_capacity_mwh,industrial_storage_nonpv_energy_capacity_mwh,transportation_storage_nonpv_energy_capacity_mwh,total_storage_nonpv_energy_capacity_mwh,residential_wind_capacity_mw,commercial_wind_capacity_mw,industrial_wind_capacity_mw,transportation_wind_capacity_mw,total_wind_capacity_mw,residential_wind_customers,commercial_wind_customers,industrial_wind_customers,transportation_wind_customers,total_wind_customers,residential_wind_sold_to_utility_mwh,commercial_wind_sold_to_utility_mwh,industrial_wind_sold_to_utility_mwh,transportation_wind_sold_to_utility_mwh,total_wind_sold_to_utility_mwh,residential_other_capacity_mw,commercial_other_capacity_mw,industrial_other_capacity_mw,transportation_other_capacity_mw,total_other_capacity_mw,residential_other_customers,commercial_other_customers,industrial_other_customers,transportation_other_customers,total_other_customers,residential_other_sold_to_utility_mwh,commercial_other_sold_to_utility_mwh,industrial_other_sold_to_utility_mwh,transportation_other_sold_to_utility_mwh,total_other_sold_to_utility_mwh,residential_total_capacity_mw,commercial_total_capacity_mw,industrial_total_capacity_mw,transportation_total_capacity_mw,total_total_capacity_mw,residential_total_customers,commercial_total_customers,industrial_total_customers,transportation_total_customers,total_total_customers,residential_total_sold_to_utility_mwh,commercial_total_sold_to_utility_mwh,industrial_total_sold_to_utility_mwh,transportation_total_sold_to_utility_mwh,total_total_sold_to_utility_mwh,short_form,residential_chp_cogen_sold_to_utility_mwh,commercial_chp_cogen_sold_to_utility_mwh,industrial_chp_cogen_sold_to_utility_mwh,transportation_chp_cogen_sold_to_utility_mwh,total_chp_cogen_sold_to_utility_mwh,residential_chp_cogen_capacity_mw,commercial_chp_cogen_capacity_mw,industrial_chp_cogen_capacity_mw,transportation_chp_cogen_capacity_mw,total_chp_cogen_capacity_mw,residential_chp_cogen_customers,commercial_chp_cogen_customers,industrial_chp_cogen_customers,transportation_chp_cogen_customers,total_chp_cogen_customers,early_release,residential_virtual_pv_capacity_mw,commercial_virtual_pv_capacity_mw,industrial_virtual_pv_capacity_mw,transportation_virtual_pv_capacity_mw,total_virtual_pv_capacity_mw,residential_virtual_pv_customers,commercial_virtual_pv_customers,industrial_virtual_pv_customers,transportation_virtual_pv_customers,total_virtual_pv_customers
2002,0,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,6,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,0,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,6,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,0,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,6,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2005,0,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,6,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2006,0,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,6,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2007,0,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,6,7,8,9,10,11,12,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2008,0,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,6,7,8,9,10,11,12,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2009,0,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,6,7,8,9,10,11,12,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2010,0,3,1,2,-1,-1,9,10,11,12,13,14,15,16,17,18,4,5,6,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,25,26,27,28,29,30,31,32,33,19,20,21,22,23,54,55,56,57,58,59,60,61,62,63,49,50,51,52,53,69,70,71,72,73,74,75,76,77,78,64,65,66,67,68,-1,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2011,0,3,1,2,-1,-1,9,10,11,12,13,14,15,16,17,18,4,5,6,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,25,26,27,28,29,30,31,32,33,19,20,21,22,23,54,55,56,57,58,59,60,61,62,63,49,50,51,52,53,69,70,71,72,73,74,75,76,77,78,64,65,66,67,68,-1,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
