year_index,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
generation_fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
puerto_rico,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1
energy_storage,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,2,2,2
stocks,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3
oil_stocks,-1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4
coal_stocks,-1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,-1
petcoke_stocks,-1,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,-1
boiler_fuel,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,5,5,6,6,6,7,7,7,7,5
generator,-1,-1,-1,-1,-1,-1,-1,6,6,6,6,6,6,7,7,7,8,8,8,8,6
fuel_receipts_costs,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,7,8,8,8,9,9,9,9,7
plant_frame,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,8,8,9,9,9,10,10,10,9,8
plant_frame_puerto_rico,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,11,11,9
emissions_control,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2
