year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
data_date,,,,,,,,,,,,,,,,,,,,,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of
interstate_or_intrastate,,,,,,,,,,,,,,,,,,,,,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra
operator_id_phmsa,,,,,,,,,,,,,,,,,,,,,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id
report_number,,,,,,,,,,,,,,,,,,,,,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number
report_year,,,,,,,,,,,,,,,,,,,,,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year
report_state,,,,,,,,,,,,,,,,,,,,,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name
supplemental_report_number,,,,,,,,,,,,,,,,,,,,,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number
operator_name_phmsa,,,,,,,,,,,,,,,,,,,,,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp
commodity_group,,,,,,,,,,,,,,,,,,,,,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity
onshore_transmission_pipe_steel_cathodically_protected_bare_miles,,,,,,,,,,,,,,,,,,,,,partptoncpb,partptoncpb,partptoncpb,partptoncpb,partptoncpb,partptoncpb,partptoncpb,partptoncpb,partptoncpb,partptoncpb,partptoncpb,partptoncpb,partptoncpb
onshore_transmission_pipe_steel_cathodically_protected_coated_miles,,,,,,,,,,,,,,,,,,,,,partptoncpc,partptoncpc,partptoncpc,partptoncpc,partptoncpc,partptoncpc,partptoncpc,partptoncpc,partptoncpc,partptoncpc,partptoncpc,partptoncpc,partptoncpc
onshore_transmission_pipe_steel_cathodically_unprotected_bare_miles,,,,,,,,,,,,,,,,,,,,,partptoncub,partptoncub,partptoncub,partptoncub,partptoncub,partptoncub,partptoncub,partptoncub,partptoncub,partptoncub,partptoncub,partptoncub,partptoncub
onshore_transmission_pipe_steel_cathodically_unprotected_coated_miles,,,,,,,,,,,,,,,,,,,,,partptoncuc,partptoncuc,partptoncuc,partptoncuc,partptoncuc,partptoncuc,partptoncuc,partptoncuc,partptoncuc,partptoncuc,partptoncuc,partptoncuc,partptoncuc
onshore_transmission_pipe_cast_iron_miles,,,,,,,,,,,,,,,,,,,,,partptonci,partptonci,partptonci,partptonci,partptonci,partptonci,partptonci,partptonci,partptonci,partptonci,partptonci,partptonci,partptonci
onshore_transmission_pipe_wrought_iron_miles,,,,,,,,,,,,,,,,,,,,,partptonwi,partptonwi,partptonwi,partptonwi,partptonwi,partptonwi,partptonwi,partptonwi,partptonwi,partptonwi,partptonwi,partptonwi,partptonwi
onshore_transmission_pipe_plastic_miles,,,,,,,,,,,,,,,,,,,,,partptonp,partptonp,partptonp,partptonp,partptonp,partptonp,partptonp,partptonp,partptonp,partptonp,partptonp,partptonp,partptonp
onshore_transmission_pipe_composite_miles,,,,,,,,,,,,,,,,,,,,,partptonc,partptonc,partptonc,partptonc,partptonc,partptonc,partptonc,partptonc,partptonc,partptonc,partptonc,partptonc,partptonc
onshore_transmission_pipe_other_miles,,,,,,,,,,,,,,,,,,,,,partptono,partptono,partptono,partptono,partptono,partptono,partptono,partptono,partptono,partptono,partptono,partptono,partptono
onshore_transmission_pipe_total_miles,,,,,,,,,,,,,,,,,,,,,partptontotal,partptontotal,partptontotal,partptontotal,partptontotal,partptontotal,partptontotal,partptontotal,partptontotal,partptontotal,partptontotal,partptontotal,partptontotal
offshore_transmission_pipe_steel_cathodically_protected_bare_miles,,,,,,,,,,,,,,,,,,,,,partptoffcpb,partptoffcpb,partptoffcpb,partptoffcpb,partptoffcpb,partptoffcpb,partptoffcpb,partptoffcpb,partptoffcpb,partptoffcpb,partptoffcpb,partptoffcpb,partptoffcpb
offshore_transmission_pipe_steel_cathodically_protected_coated_miles,,,,,,,,,,,,,,,,,,,,,partptoffcpc,partptoffcpc,partptoffcpc,partptoffcpc,partptoffcpc,partptoffcpc,partptoffcpc,partptoffcpc,partptoffcpc,partptoffcpc,partptoffcpc,partptoffcpc,partptoffcpc
offshore_transmission_pipe_steel_cathodically_unprotected_bare_miles,,,,,,,,,,,,,,,,,,,,,partptoffcub,partptoffcub,partptoffcub,partptoffcub,partptoffcub,partptoffcub,partptoffcub,partptoffcub,partptoffcub,partptoffcub,partptoffcub,partptoffcub,partptoffcub
offshore_transmission_pipe_steel_cathodically_unprotected_coated_miles,,,,,,,,,,,,,,,,,,,,,partptoffcuc,partptoffcuc,partptoffcuc,partptoffcuc,partptoffcuc,partptoffcuc,partptoffcuc,partptoffcuc,partptoffcuc,partptoffcuc,partptoffcuc,partptoffcuc,partptoffcuc
offshore_transmission_pipe_cast_iron_miles,,,,,,,,,,,,,,,,,,,,,partptoffci,partptoffci,partptoffci,partptoffci,partptoffci,partptoffci,partptoffci,partptoffci,partptoffci,partptoffci,partptoffci,partptoffci,partptoffci
offshore_transmission_pipe_wrought_iron_miles,,,,,,,,,,,,,,,,,,,,,partptoffwi,partptoffwi,partptoffwi,partptoffwi,partptoffwi,partptoffwi,partptoffwi,partptoffwi,partptoffwi,partptoffwi,partptoffwi,partptoffwi,partptoffwi
