year_index,2013,2014,2015,2016,2017,2018
report_year,0,0,0,0,0,0
utility_id_eia,1,1,1,1,1,1
utility_name_eia,2,2,2,2,2,2
state,3,3,3,3,3,3
entity_type,-1,-1,-1,4,4,4
ieee_saidi_with_med,4,4,4,5,5,5
ieee_saidi_without_med,5,5,5,6,6,8
ieee_saidi_with_med_minus_los,6,6,6,7,7,11
ieee_saifi_with_med,7,7,7,8,8,6
ieee_caidi_with_med,-1,-1,-1,-1,-1,7
ieee_saifi_without_med,8,8,8,9,9,9
ieee_caidi_without_med,-1,-1,-1,-1,-1,10
ieee_saifi_with_med_minus_los,9,9,9,10,10,12
ieee_caidi_with_med_minus_los,-1,-1,-1,-1,-1,13
ieee_customers,10,10,10,11,11,14
ieee_highest_distribution_voltage,11,11,11,12,12,15
ieee_outages_recorded_automatically,12,12,12,13,13,16
other_saidi_with_med,13,13,13,14,14,17
other_saidi_without_med,14,14,14,15,15,20
other_saifi_with_med,15,15,15,16,16,18
other_caidi_with_med,-1,-1,-1,-1,-1,19
other_saifi_without_med,16,16,16,17,17,21
other_caidi_without_med,-1,-1,-1,-1,-1,22
other_customers,17,17,17,18,18,23
other_inactive_accounts_included,18,18,18,19,19,24
other_momentary_interruption_definition,19,19,19,20,20,25
other_highest_distribution_voltage,20,20,20,21,21,26
other_outages_recorded_automatically,21,21,21,22,22,27
