year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,plant_name_rus,opex_supervision_and_engineering_amount,opex_coal_fuel_amount,opex_coal_fuel_per_mmbtu,opex_oil_fuel_amount,opex_oil_fuel_per_mmbtu,opex_gas_fuel_amount,opex_gas_fuel_per_mmbtu,opex_other_fuel_amount,opex_other_fuel_per_mmbtu,opex_total_fuel_amount,opex_total_fuel_dollars_per_mwh,opex_total_fuel_per_mmbtu,opex_steam_amount,opex_electric_amount,opex_steam_power_amount,opex_allowances_amount,opex_rents_amount,opex_non_fuels_subtotal_amount,opex_non_fuels_subtotal_dollars_per_mwh,opex_operations_total_amount,opex_operations_total_dollars_per_mwh,opex_maintenance_supervision_and_engineering_amount,opex_maintenance_structures_amount,opex_maintenance_boiler_plant_amount,opex_maintenance_electric_plant_amount,opex_maintenance_other_plant_amount,opex_maintenance_total_amount,opex_maintenance_total_dollars_per_mwh,opex_total_amount,opex_total_dollars_per_mwh,capex_depreciation_amount,capex_interest_amount,capex_total_fixed_amount,capex_total_fixed_dollars_per_mwh,total_power_cost_amount,total_power_dollars_per_mwh
2006,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2007,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2008,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2009,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2010,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2011,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2012,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2013,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2014,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2015,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
