table_name,xbrl_factoid,aggregatable_plant_function
core_ferc1__yearly_plant_in_service_sched204,intangible_plant,intangible
core_ferc1__yearly_plant_in_service_sched204,steam_production_plant,steam_production
core_ferc1__yearly_plant_in_service_sched204,nuclear_production_plant,nuclear_production
core_ferc1__yearly_plant_in_service_sched204,hydraulic_production_plant,hydraulic_production
core_ferc1__yearly_plant_in_service_sched204,other_production_plant,other_production
core_ferc1__yearly_plant_in_service_sched204,transmission_plant,transmission
core_ferc1__yearly_plant_in_service_sched204,distribution_plant,distribution
core_ferc1__yearly_plant_in_service_sched204,transmission_and_market_operation_plant_regional_transmission_and_market_operation_plant,regional_transmission_and_market_operation
core_ferc1__yearly_plant_in_service_sched204,general_plant,general
core_ferc1__yearly_plant_in_service_sched204,electric_plant_purchased,purchased_sold
core_ferc1__yearly_plant_in_service_sched204,electric_plant_sold,purchased_sold
core_ferc1__yearly_plant_in_service_sched204,experimental_electric_plant_unclassified,experimental
core_ferc1__yearly_operating_expenses_sched320,steam_power_generation_operations_expense,steam_production
core_ferc1__yearly_operating_expenses_sched320,steam_power_generation_maintenance_expense,steam_production
core_ferc1__yearly_operating_expenses_sched320,nuclear_power_generation_operations_expense,nuclear_production
core_ferc1__yearly_operating_expenses_sched320,nuclear_power_generation_maintenance_expense,nuclear_production
core_ferc1__yearly_operating_expenses_sched320,hydraulic_power_generation_operations_expense,hydraulic_production
core_ferc1__yearly_operating_expenses_sched320,hydraulic_power_generation_maintenance_expense,hydraulic_production
core_ferc1__yearly_operating_expenses_sched320,other_power_generation_operations_expense,other_production
core_ferc1__yearly_operating_expenses_sched320,other_power_generation_maintenance_expense,other_production
core_ferc1__yearly_operating_expenses_sched320,other_power_supply_expense,
core_ferc1__yearly_operating_expenses_sched320,transmission_operation_expense,transmission
core_ferc1__yearly_operating_expenses_sched320,transmission_maintenance_expense_electric,transmission
core_ferc1__yearly_operating_expenses_sched320,regional_market_operation_expense,regional_transmission_and_market_operation
core_ferc1__yearly_operating_expenses_sched320,regional_market_maintenance_expense,regional_transmission_and_market_operation
core_ferc1__yearly_operating_expenses_sched320,distribution_operation_expenses_electric,distribution
core_ferc1__yearly_operating_expenses_sched320,distribution_maintenance_expense_electric,distribution
core_ferc1__yearly_operating_expenses_sched320,customer_account_expenses,
core_ferc1__yearly_operating_expenses_sched320,customer_service_and_information_expenses,
core_ferc1__yearly_operating_expenses_sched320,sales_expenses,
core_ferc1__yearly_operating_expenses_sched320,administrative_and_general_expenses,general
core_ferc1__yearly_utility_plant_summary_sched200,utility_plant_in_service_completed_construction_not_classified,unclassified
core_ferc1__yearly_utility_plant_summary_sched200,utility_plant_in_service_experimental_plant_unclassified,experimental
core_ferc1__yearly_utility_plant_summary_sched200,utility_plant_in_service_plant_purchased_or_sold,purchased_sold
