table_name,partition,row_count
out_vcerare__hourly_available_capacity_factor,2019,27287400
out_vcerare__hourly_available_capacity_factor,2020,27287400
out_vcerare__hourly_available_capacity_factor,2021,27287400
out_vcerare__hourly_available_capacity_factor,2022,27287400
out_vcerare__hourly_available_capacity_factor,2023,27287400
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,1994,1188
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,1995,1203
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,1996,1143
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,1997,1112
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,1998,1113
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,1999,1073
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2000,1041
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2001,923
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2002,877
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2003,856
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2004,832
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2005,873
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2006,865
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2007,877
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2008,857
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2009,867
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2010,883
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2011,885
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2012,889
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2013,858
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2014,833
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2015,826
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2016,804
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2017,780
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2018,755
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2019,743
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2020,716
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2021,751
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2022,765
out_ferc1__yearly_steam_plants_fuel_by_plant_sched402,2023,759
out_ferc1__yearly_steam_plants_sched402,1994,1411
out_ferc1__yearly_steam_plants_sched402,1995,1448
out_ferc1__yearly_steam_plants_sched402,1996,1395
out_ferc1__yearly_steam_plants_sched402,1997,1328
out_ferc1__yearly_steam_plants_sched402,1998,1339
out_ferc1__yearly_steam_plants_sched402,1999,1310
out_ferc1__yearly_steam_plants_sched402,2000,1308
out_ferc1__yearly_steam_plants_sched402,2001,1174
out_ferc1__yearly_steam_plants_sched402,2002,1108
out_ferc1__yearly_steam_plants_sched402,2003,1033
out_ferc1__yearly_steam_plants_sched402,2004,989
out_ferc1__yearly_steam_plants_sched402,2005,1064
out_ferc1__yearly_steam_plants_sched402,2006,1003
out_ferc1__yearly_steam_plants_sched402,2007,1013
out_ferc1__yearly_steam_plants_sched402,2008,1022
out_ferc1__yearly_steam_plants_sched402,2009,1015
out_ferc1__yearly_steam_plants_sched402,2010,1032
out_ferc1__yearly_steam_plants_sched402,2011,1043
out_ferc1__yearly_steam_plants_sched402,2012,1034
out_ferc1__yearly_steam_plants_sched402,2013,1007
out_ferc1__yearly_steam_plants_sched402,2014,997
out_ferc1__yearly_steam_plants_sched402,2015,999
out_ferc1__yearly_steam_plants_sched402,2016,957
out_ferc1__yearly_steam_plants_sched402,2017,938
out_ferc1__yearly_steam_plants_sched402,2018,922
out_ferc1__yearly_steam_plants_sched402,2019,929
out_ferc1__yearly_steam_plants_sched402,2020,945
out_ferc1__yearly_steam_plants_sched402,2021,1046
out_ferc1__yearly_steam_plants_sched402,2022,1070
out_ferc1__yearly_steam_plants_sched402,2023,1096
