record_id_eia,record_id_ferc1,signature_1,signature_2,notes
2707_hy_2018_plant_prime_mover_total_3046,f1_hydro_2018_12_17_0_1,OIU,,
2707_hy_2019_plant_prime_mover_total_3046,f1_hydro_2019_12_17_0_1,OIU,,
3266_2019_plant_total_5416_retired,f1_hydro_2019_12_45_2_1,OIU,,
6113_2018_plant_owned_15470,f1_steam_2018_12_144_0_3,OIU,,
1001_gt_2018_plant_prime_mover_total_15470,f1_steam_2018_12_144_0_4,OIU,,
1001_ic_2018_plant_prime_mover_total_15470,f1_steam_2018_12_144_0_5,OIU,,
1008_2_2018_plant_unit_total_15470,f1_steam_2018_12_144_1_3,OIU,,FERC capacities and generation are from R Gallagher generators 2 & 4.
1001_st_2018_plant_prime_mover_total_15470,f1_steam_2018_12_144_1_4,OIU,,
7763_2018_plant_total_15470,f1_steam_2018_12_144_1_5,OIU,,
1002_2018_plant_total_15470,f1_steam_2018_12_144_2_3,OIU,,
6018_2018_plant_total_55729,f1_steam_2018_12_178_0_1,OIU,,
2706_st_2018_plant_prime_mover_total_3046,f1_steam_2018_12_17_0_1,OIU,,
6014_2018_plant_total_3046,f1_steam_2018_12_17_1_4,OIU,,
2706_gt_2018_plant_prime_mover_total_3046,f1_steam_2018_12_17_2_2,OIU,,
2707_gt_2018_plant_prime_mover_total_3046,f1_steam_2018_12_17_2_3,OIU,,
8042_2018_plant_total_5416,f1_steam_2018_12_45_0_1,OIU,,
2718_2018_plant_total_5416,f1_steam_2018_12_45_0_3,OIU,,
2723_st_2018_plant_prime_mover_owned_5416_retired,f1_steam_2018_12_45_1_1,OIU,,
2723_gt_2018_plant_prime_mover_owned_5416_retired,f1_steam_2018_12_45_1_2,OIU,,
6036_2018_plant_owned_5416,f1_steam_2018_12_45_3_2,OIU,,
2720_ca_2018_plant_prime_mover_total_5416,f1_steam_2018_12_45_3_5,OIU,,
2723_ct8_2018_plant_gen_total_5416,f1_steam_2018_12_45_4_1,OIU,,
8048_2018_plant_total_6455,f1_steam_2018_12_55_0_1,OIU,,
624_2018_plant_total_6455,f1_steam_2018_12_55_1_4,OIU,,
627_2018_plant_total_6455,f1_steam_2018_12_55_2_1,OIU,,
6046_10_2018_plant_gen_total_6455,f1_steam_2018_12_55_2_2,OIU,,
6113_2019_plant_owned_15470,f1_steam_2019_12_144_0_3,OIU,,
1001_gt_2019_plant_prime_mover_total_15470,f1_steam_2019_12_144_0_4,OIU,,
1001_ic_2019_plant_prime_mover_total_15470,f1_steam_2019_12_144_0_5,OIU,,
1008_2_2019_plant_unit_total_15470,f1_steam_2019_12_144_1_3,OIU,,
1001_st_2019_plant_prime_mover_total_15470,f1_steam_2019_12_144_1_4,OIU,,
7763_2019_plant_total_15470,f1_steam_2019_12_144_1_5,OIU,,
