utility_id_pudl,utility_id_ferc1,utility_name_ferc1,utility_id_eia,utility_name_eia
1,131,"{Test 423 (do not use) Sharyland Utilities, L.P.)}",,
2,148,{Test Company - A},,
3,147,{Test Company - B1},,
4,113,Access Energy Cooperative,,
5,76,Adirondack Hydro Development Corporation,,
6,431,"AEP Appalachian Transmission Company, Inc.",,
7,342,AEP Generating Company,343,AEP Generating Company
8,340,AEP Generation Resources Inc.,58620,AEP Generation Resources Inc
9,434,"AEP Indiana Michigan Transmission Company, Inc.",,
10,433,"AEP Kentucky Transmission Company, Inc.",,
11,194,"AEP Ohio Transmission Company, Inc.",,
12,195,"AEP Oklahoma Transmission Company, Inc.",,
13,435,"AEP Southwestern Transmission Company, Inc.",,
14,198,AEP Texas Central Company,,
15,199,AEP Texas North Company,,
16,432,"AEP West Virginia Transmission Company, Inc.",,
17,114,AJO Improvement Company,,
18,294,ALABAMA POWER COMPANY,195,Alabama Power Co
19,403,Alaska Electric Light and Power Company,213,Alaska Electric Light&Power Co
20,349,Alcoa Generating Corporation,,
21,282,Alcoa Power Generating Inc.,317,Alcoa Power Generating Inc Yadkin Div
22,81,"Alfalfa Electric Cooperative, Inc.",,
23,307,"ALLETE, Inc.",12647,"ALLETE, Inc."
24,72,Amerada Hess Corporation,,
26,328,Ameren Transmission Company of Illinois,,
27,92,American Transmission Company LLC,,
28,180,"American Transmission Systems, Incorporated",,
29,200,Appalachian Power Company,733,Appalachian Power Co
30,107,APS Energy Services Company,,
31,286,Arizona Public Service Company,803,Arizona Public Service Co
32,45,AROOSTOOK VALLEY ELECTRIC COMPANY,,
33,292,Atlantic City Electric Company,,
34,421,Attala Transmission LLC,,
35,182,Avista Corporation,20169,Avista Corp
36,248,Baltimore Gas and Electric Company,,
37,139,Beacon Power Corporation,57031,Beacon Power LLC
38,54,BeeBee Island Corporation,,
39,63,Berea College Utilities,,
40,46,Big Rivers Electric Corporation,1692,Big Rivers Electric Corp
41,53,"Black Creek Hydro, Inc.",1784,Black Creek Hydro Inc
42,285,"Black Hills Power, Inc.",19545,"Black Hills Power, Inc. d/b/a"
43,309,"Black Hills/Colorado Electric Utility Company, LP",56146,Black Hills/Colorado Elec.Util
44,2,Blackstone Valley Electric Company,,
45,3,Boston Edison Company,,
46,115,"Bridger Valley Electric Association, Inc.",,
47,334,"Buckeye Power, Inc.",7004,"Buckeye Power, Inc"
48,256,California Independent System Operator Corporation,,
49,325,California Power Exchange Corporation,,
50,4,Cambridge Electric Light Company,,
51,5,CANAL ELECTRIC COMPANY,,
52,77,"Carr Street Generating, L.P.",24202,Carr Street Generating Sta LP
53,404,Catalyst Old River Hydroelectric Limited Partnership,,
54,318,"CenterPoint Energy Houston Electric, LLC",,
55,246,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,3249,Central Hudson Gas & Elec Corp
56,6,Central Illinois Light Company,,
57,7,Central Illinois Public Service Company,,
58,212,Central Maine Power Company,,
59,405,Central Vermont Public Service Corporation,,
60,8,Century Power Corporation,,
61,99,Chattahoochee EMC,,
62,289,"Cheyenne Light, Fuel and Power Company",,
63,418,"Chugach Electric Association, Inc.",3522,Chugach Electric Assn Inc
64,10,CITIZENS COMMUNCIATIONS COMPANY,,
65,97,Citizens Electric Corporation,,
66,339,Citizens Sunrise Transmission LLC.,,
67,9,CITIZENS' ELECTRIC COMPANY,,
68,98,Clark Fork & Blackfoot LLC,,
69,185,Cleco Power LLC,3265,Cleco Power LLC
70,175,"Cleveland Electric Illuminating Company, The",,
71,406,Columbus Southern Power Company,,
72,165,Commonwealth Edison Company,,
73,407,"Commonwealth Edison Company of Indiana, Inc.",,
74,11,Commonwealth Electric Company,,
75,243,"Connecticut Light and Power Company, The",,
76,12,Connecticut Valley Electric Company Inc.,,
77,326,Connecticut Yankee Atomic Power Company,,
78,57,Connexus Energy,,
79,159,"Consolidated Edison Company of New York, Inc.",4226,Consolidated Edison Co-NY Inc
80,312,Consolidated Water Power Company,4247,Consolidated Water Power Co
81,163,Consumers Energy Company,4254,Consumers Energy Co
82,101,"Cross Sound Cable Company, LLC",,
83,322,"DATC Path 15, LLC",,
84,291,Delmarva Power & Light Company,,
85,64,"Delta Natural Gas Company, Inc.",,
86,268,Deseret Generation & Transmission Cooperative,40230,Deseret Generation & Tran Coop
87,117,Dixie-Escalante Rural Electric Association,,
88,70,"Dixie-Escalante Rural Electric Association, Inc.",,
89,184,DTE Electric Company,5109,DTE Electric Company
90,170,"Duke Energy Carolinas, LLC",5416,"Duke Energy Carolinas, LLC"
91,161,"Duke Energy Florida, Inc.",6455,"Duke Energy Florida, Inc"
92,169,"Duke Energy Indiana, Inc.",15470,"Duke Energy Indiana, LLC"
93,171,"Duke Energy Kentucky, Inc.",55729,Duke Energy Kentucky Inc
94,65,Duke Energy Moss Landing LLC,,
95,66,Duke Energy Oakland LLC,,
96,172,"Duke Energy Ohio, Inc.",3542,Duke Energy Ohio Inc
97,160,"Duke Energy Progress, Inc.",3046,Duke Energy Progress - (NC)
98,284,Duquesne Light Company,,
99,336,"EAM Nelson Holding, LLC",,
