year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,opex_electric_materials_purchased,opex_electric_materials_salvaged,opex_electric_materials_used,opex_electric_materials_sold,opex_electric_materials_adjustment,opex_electric_materials_ending_balance,opex_other_materials_purchased,opex_other_materials_salvaged,opex_other_materials_used,opex_other_materials_sold,opex_other_materials_adjustment,opex_other_materials_ending_balance
2006,rusborrowerid,borrowername,year,period,electricpurchased,electricsalvaged,electricused,electricsold,electricadjustment,electricendingbalance,otherpurchased,othersalvaged,otherused,othersold,otheradjustment,otherendingbalance
2007,rusborrowerid,borrowername,year,period,electricpurchased,electricsalvaged,electricused,electricsold,electricadjustment,electricendingbalance,otherpurchased,othersalvaged,otherused,othersold,otheradjustment,otherendingbalance
2008,rusborrowerid,borrowername,year,period,electricpurchased,electricsalvaged,electricused,electricsold,electricadjustment,electricendingbalance,otherpurchased,othersalvaged,otherused,othersold,otheradjustment,otherendingbalance
2009,rusborrowerid,borrowername,year,period,electricpurchased,electricsalvaged,electricused,electricsold,electricadjustment,electricendingbalance,otherpurchased,othersalvaged,otherused,othersold,otheradjustment,otherendingbalance
2010,rusborrowerid,borrowername,year,period,electricpurchased,electricsalvaged,electricused,electricsold,electricadjustment,electricendingbalance,otherpurchased,othersalvaged,otherused,othersold,otheradjustment,otherendingbalance
2011,rusborrowerid,borrowername,year,period,electricpurchased,electricsalvaged,electricused,electricsold,electricadjustment,electricendingbalance,otherpurchased,othersalvaged,otherused,othersold,otheradjustment,otherendingbalance
2012,rusborrowerid,borrowername,year,period,electricpurchased,electricsalvaged,electricused,electricsold,electricadjustment,electricendingbalance,otherpurchased,othersalvaged,otherused,othersold,otheradjustment,otherendingbalance
2013,rusborrowerid,borrowername,year,period,electricpurchased,electricsalvaged,electricused,electricsold,electricadjustment,electricendingbalance,otherpurchased,othersalvaged,otherused,othersold,otheradjustment,otherendingbalance
2014,rusborrowerid,borrowername,year,period,electricpurchased,electricsalvaged,electricused,electricsold,electricadjustment,electricendingbalance,otherpurchased,othersalvaged,otherused,othersold,otheradjustment,otherendingbalance
2015,rusborrowerid,borrowername,year,period,electricpurchased,electricsalvaged,electricused,electricsold,electricadjustment,electricendingbalance,otherpurchased,othersalvaged,otherused,othersold,otheradjustment,otherendingbalance
2016,rusborrowerid,borrowername,year,period,electricpurchased,electricsalvaged,electricused,electricsold,electricadjustment,electricendingbalance,otherpurchased,othersalvaged,otherused,othersold,otheradjustment,otherendingbalance
2017,rusborrowerid,borrowername,year,period,electricpurchased,electricsalvaged,electricused,electricsold,electricadjustment,electricendingbalance,otherpurchased,othersalvaged,otherused,othersold,otheradjustment,otherendingbalance
2018,rusborrowerid,borrowername,year,period,electricpurchased,electricsalvaged,electricused,electricsold,electricadjustment,electricendingbalance,otherpurchased,othersalvaged,otherused,othersold,otheradjustment,otherendingbalance
2019,rusborrowerid,borrowername,year,period,electricpurchased,electricsalvaged,electricused,electricsold,electricadjustment,electricendingbalance,otherpurchased,othersalvaged,otherused,othersold,otheradjustment,otherendingbalance
2020,rusborrowerid,borrowername,year,period,electricpurchased,electricsalvaged,electricused,electricsold,electricadjustment,electricendingbalance,otherpurchased,othersalvaged,otherused,othersold,otheradjustment,otherendingbalance
2021,rusborrowerid,borrowername,year,period,electricpurchased,electricsalvaged,electricused,electricsold,electricadjustment,electricendingbalance,otherpurchased,othersalvaged,otherused,othersold,otheradjustment,otherendingbalance
